symbol,action,date,entry_timestamp,entry,close,profit,percentage,result,profit_sum,balance
,,2021-10-30 13:00:00+00:00,,,,,,,0,100
BNB/USDT,short,2021-10-30 13:15:04+00:00,1635599760,517.8,524.704,-100,-0.01315789474,liquidate,-100,0
BTC/USDT,long,2021-10-30 13:34:05+00:00,1635600900,62102.99,61606.16608,-100,-0.008,liquidate,-200,-100
CRV/USDT,short,2021-10-30 14:40:06+00:00,1635604860,5.022,4.92548,39.19211935,0.01959605967,take profit,-160.8078807,-60.80788065
LINA/USDT,long,2021-10-30 19:00:26+00:00,1635620460,0.05175,0.0548762,120.8193237,0.06040966184,take profit,-39.98855695,60.01144305
COTI/USDT,short,2021-10-30 22:30:05+00:00,1635633060,0.5332,0.5355,-0.4313578395,-0.004313578395,end,-40.41991479,59.58008521
NEAR/USDT,long,2021-10-31 00:25:06+00:00,1635639960,10.623,10.3014,-75.68483479,-0.03027393392,stop loss,-116.1047496,-16.10474958
NEAR/USDT,short,2021-10-31 01:55:05+00:00,1635645360,10.264,9.95996,76.31556753,0.03052622701,take profit,-39.78918205,60.21081795
BTC/USDT,short,2021-10-31 04:54:05+00:00,1635656100,61463.05,60647.97186,167.9936927,0.01343949542,take profit,128.2045107,228.2045107
MATIC/USDT,short,2021-10-31 08:45:05+00:00,1635669960,1.872,1.859008,27.95469412,0.006988673529,take profit,156.1592048,256.1592048
RAY/USDT,short,2021-10-31 09:00:29+00:00,1635670860,10.416,10.646,-2.208141321,-0.02208141321,end,153.9510634,253.9510634
GTC/USDT,short,2021-10-31 13:45:06+00:00,1635687960,8.119,8.52495,-100,-0.04761904762,liquidate,53.95106345,153.9510634
COTI/USDT,long,2021-10-31 16:00:24+00:00,1635696060,0.6137,0.6328872,62.52957471,0.03126478736,take profit,116.4806382,216.4806382
BTC/USDT,long,2021-10-31 21:32:05+00:00,1635715980,61343.79,60853.03968,-100,-0.008,liquidate,16.48063816,116.4806382
NEAR/USDT,long,2021-10-31 22:10:05+00:00,1635718260,10.219,10.44317,54.84147177,0.02193658871,take profit,71.32210993,171.3221099
FTM/USDT,long,2021-10-31 22:30:05+00:00,1635719460,2.8332,2.855775,15.93604405,0.007968022025,take profit,87.25815398,187.258154
BTC/USDT,short,2021-11-01 02:20:05+00:00,1635733260,60438.88,59750.46315,144.0191451,0.01152153161,take profit,231.2772991,331.2772991
BTC/USDT,long,2021-11-01 07:04:05+00:00,1635750300,61271.78,62028.83653,154.4464128,0.01235571302,take profit,385.7237119,485.7237119
GTC/USDT,long,2021-11-01 08:00:12+00:00,1635753660,9.156,9.542636,126.6828309,0.04222761031,take profit,512.4065428,612.4065428
BNB/USDT,long,2021-11-01 09:45:05+00:00,1635759960,534.7,539.946,73.58331775,0.009811109033,take profit,585.9898605,685.9898605
CRV/USDT,long,2021-11-01 11:20:05+00:00,1635765660,4.462,4.37276,-40,-0.02,stop loss,545.9898605,645.9898605
RAY/USDT,long,2021-11-01 16:00:10+00:00,1635782460,11.201,10.74528,-81.37130613,-0.04068565307,stop loss,464.6185544,564.6185544
BTC/USDT,short,2021-11-01 16:36:05+00:00,1635784620,61058.29,60361.98861,144.1928534,0.01153542827,take profit,608.8114078,708.8114078
FTM/USDT,short,2021-11-01 18:10:05+00:00,1635790260,2.6974,2.716799,-17.85097094,-0.007140388376,stop loss,590.9604369,690.9604369
NEAR/USDT,short,2021-11-01 18:20:07+00:00,1635790860,9.936,10.23614,-73.30399936,-0.02932159974,stop loss,517.6564375,617.6564375
BTC/USDT,long,2021-11-01 20:00:33+00:00,1635796860,61364.48,60873.56416,-100,-0.008,liquidate,417.6564375,517.6564375
CRV/USDT,short,2021-11-02 02:50:05+00:00,1635821460,4.334,4.41456,-36.49740858,-0.01824870429,stop loss,381.1590289,481.1590289
NEAR/USDT,long,2021-11-02 03:10:04+00:00,1635822660,10.28,10.54514,64.47957198,0.02579182879,take profit,445.6386009,545.6386009
BTC/USDT,short,2021-11-02 23:08:04+00:00,1635894540,62772.63,63274.81104,-100,-0.007936507937,liquidate,345.6386009,445.6386009
NEAR/USDT,short,2021-11-02 23:10:07+00:00,1635894660,10.424,10.74084,-73.74655986,-0.02949862394,stop loss,271.892041,371.892041
BNB/USDT,short,2021-11-03 00:30:05+00:00,1635899460,548.7,542.718,82.66724155,0.01102229887,take profit,354.5592826,454.5592826
CRV/USDT,long,2021-11-03 07:10:05+00:00,1635923460,4.531,4.43352,-43.02802913,-0.02151401457,stop loss,311.5312535,411.5312535
NEAR/USDT,long,2021-11-03 07:55:05+00:00,1635926160,10.659,11.02718,86.35425462,0.03454170185,take profit,397.8855081,497.8855081
MATIC/USDT,short,2021-11-03 11:15:04+00:00,1635938160,2.025,1.999872,50.25921659,0.01256480415,take profit,448.1447247,548.1447247
CRV/USDT,short,2021-11-03 12:30:05+00:00,1635942660,4.345,4.24732,45.9960634,0.0229980317,take profit,494.1407881,594.1407881
COTI/USDT,short,2021-11-03 12:30:09+00:00,1635942660,0.5744,0.5854,-1.915041783,-0.01915041783,end,492.2257463,592.2257463
NEAR/USDT,short,2021-11-03 12:50:07+00:00,1635943860,10.425,10.76453,-78.85388401,-0.0315415536,stop loss,413.3718623,513.3718623
RAY/USDT,short,2021-11-03 14:00:36+00:00,1635948060,12.34,12.8752,-83.13657264,-0.04156828632,stop loss,330.2352896,430.2352896
BTC/USDT,long,2021-11-03 18:46:04+00:00,1635965220,62937.01,62433.51392,-100,-0.008,liquidate,230.2352896,330.2352896
BNB/USDT,long,2021-11-03 19:00:14+00:00,1635966060,563.1,568.125,66.92860948,0.008923814598,take profit,297.1638991,397.1638991
MATIC/USDT,long,2021-11-03 19:05:06+00:00,1635966360,2.046,2.062368,32,0.008,take profit,329.1638991,429.1638991
CRV/USDT,long,2021-11-03 20:20:06+00:00,1635970860,4.372,4.28064,-41.79322964,-0.02089661482,stop loss,287.3706695,387.3706695
NEAR/USDT,long,2021-11-03 22:25:08+00:00,1635978360,11.201,10.92026,-62.65958397,-0.02506383359,stop loss,224.7110855,324.7110855
MATIC/USDT,short,2021-11-04 00:20:05+00:00,1635985260,1.994,1.981024,26.20059121,0.006550147802,take profit,250.9116767,350.9116767
BTC/USDT,short,2021-11-04 01:54:05+00:00,1635990900,62363.5,61556.55471,163.8625841,0.01310900673,take profit,414.7742608,514.7742608
RUNE/USDT,short,2021-11-04 08:00:36+00:00,1636012860,14.866,14.26752,125.8410712,0.04194702373,take profit,540.615332,640.615332
CRV/USDT,short,2021-11-04 08:10:05+00:00,1636013460,4.251,4.16206,42.73845163,0.02136922582,take profit,583.3537836,683.3537836
NEAR/USDT,short,2021-11-04 08:50:08+00:00,1636015860,10.776,10.46824,73.49850596,0.02939940238,take profit,656.8522896,756.8522896
BNB/USDT,short,2021-11-04 09:00:14+00:00,1636016460,551.9,559.2586667,-100,-0.01315789474,liquidate,556.8522896,656.8522896
GTC/USDT,short,2021-11-04 18:01:01+00:00,1636048920,9.116,8.759952,81.28994314,0.04064497157,take profit,638.1422327,738.1422327
FTM/USDT,long,2021-11-04 21:35:05+00:00,1636061760,2.639,2.665491,20.07654415,0.01003827207,take profit,658.2187769,758.2187769
BTC/USDT,long,2021-11-05 02:08:04+00:00,1636078140,61890.07,61394.94944,-100,-0.008,liquidate,558.2187769,658.2187769
BNB/USDT,long,2021-11-05 03:15:04+00:00,1636082160,568.8,574.185,71.00474684,0.009467299578,take profit,629.2235237,729.2235237
MATIC/USDT,long,2021-11-05 04:35:05+00:00,1636086960,1.924,1.939392,32,0.008,take profit,661.2235237,761.2235237
NEAR/USDT,long,2021-11-05 05:25:06+00:00,1636089960,10.74,10.42944,-72.29050279,-0.02891620112,stop loss,588.9330209,688.9330209
BTC/USDT,short,2021-11-05 09:54:03+00:00,1636106100,61609.98,60778.22625,171.0632659,0.01368506127,take profit,759.9962868,859.9962868
MATIC/USDT,short,2021-11-05 10:50:07+00:00,1636109460,1.906,1.88976,34.37473542,0.008593683854,take profit,794.3710223,894.3710223
NEAR/USDT,short,2021-11-05 19:40:09+00:00,1636141260,10.431,10.13456,73.12601632,0.02925040653,take profit,867.4970386,967.4970386
BTC/USDT,long,2021-11-06 05:32:04+00:00,1636176780,61384.2,60893.1264,-100,-0.008,liquidate,767.4970386,867.4970386
BTC/USDT,short,2021-11-06 07:24:04+00:00,1636183500,60790.38,61276.70304,-100,-0.007936507937,liquidate,667.4970386,767.4970386
MATIC/USDT,short,2021-11-06 07:30:05+00:00,1636183860,1.88,1.86992,21.56241978,0.005390604946,take profit,689.0594584,789.0594584
CRV/USDT,long,2021-11-06 09:30:05+00:00,1636191060,4.267,4.1846,-38.62198266,-0.01931099133,stop loss,650.4374757,750.4374757
CRV/USDT,short,2021-11-06 11:10:05+00:00,1636197060,4.009,3.93862,35.73840584,0.01786920292,take profit,686.1758815,786.1758815
BNB/USDT,short,2021-11-06 12:15:06+00:00,1636200960,598.1,606.0746667,-100,-0.01315789474,liquidate,586.1758815,686.1758815
BTC/USDT,long,2021-11-06 19:52:04+00:00,1636228380,61118.69,61962.89023,172.6559073,0.01381247258,take profit,758.8317888,858.8317888
MATIC/USDT,long,2021-11-06 20:05:06+00:00,1636229160,1.88,1.894032,29.85531915,0.007463829787,take profit,788.687108,888.687108
NEAR/USDT,long,2021-11-06 20:30:07+00:00,1636230660,10.192,10.51012,78.03178964,0.03121271586,take profit,866.7188976,966.7188976
BNB/USDT,long,2021-11-06 21:30:06+00:00,1636234260,629.1,634.987,70.18359561,0.009357812748,take profit,936.9024932,1036.902493
FTM/USDT,long,2021-11-06 23:05:05+00:00,1636239960,2.7914,2.757051,-24.61058967,-0.01230529483,stop loss,912.2919036,1012.291904
CRV/USDT,long,2021-11-06 23:30:05+00:00,1636241460,4.111,4.19424,40.49622963,0.02024811481,take profit,952.7881332,1052.788133
MATIC/USDT,short,2021-11-07 06:50:04+00:00,1636267860,1.865,1.88971,-52.30432183,-0.01307608046,stop loss,900.4838114,1000.483811
BTC/USDT,short,2021-11-07 08:20:05+00:00,1636273260,61710.01,62203.69008,-100,-0.007936507937,liquidate,800.4838114,900.4838114
BTC/USDT,long,2021-11-07 10:06:05+00:00,1636279620,62307.93,61809.46656,-100,-0.008,liquidate,700.4838114,800.4838114
RAY/USDT,long,2021-11-07 11:00:18+00:00,1636282860,12.628,12.389,-1.892619576,-0.01892619576,end,698.5911918,798.5911918
MATIC/USDT,long,2021-11-07 11:00:39+00:00,1636282860,1.895,1.906128,23.48918206,0.005872295515,take profit,722.0803739,822.0803739
BNB/USDT,short,2021-11-07 23:00:33+00:00,1636326060,645.7,638.946,79.2790001,0.01057053335,take profit,801.359374,901.359374
CRV/USDT,short,2021-11-07 23:40:05+00:00,1636328460,4.477,4.38844,40.36058372,0.02018029186,take profit,841.7199577,941.7199577
MATIC/USDT,short,2021-11-08 00:30:04+00:00,1636331460,1.865,1.8988,-71.20286497,-0.01780071624,stop loss,770.5170927,870.5170927
MATIC/USDT,long,2021-11-08 01:20:04+00:00,1636334460,1.915,1.93032,32,0.008,take profit,802.5170927,902.5170927
NEAR/USDT,short,2021-11-08 06:35:06+00:00,1636353360,10.153,10.47201,-76.15777678,-0.03046311071,stop loss,726.3593159,826.3593159
MATIC/USDT,short,2021-11-08 09:15:04+00:00,1636362960,1.878,1.90183,-50.12014744,-0.01253003686,stop loss,676.2391685,776.2391685
NEAR/USDT,long,2021-11-08 13:30:08+00:00,1636378260,10.357,10.65226,71.27063822,0.02850825529,take profit,747.5098067,847.5098067
CRV/USDT,long,2021-11-08 14:30:13+00:00,1636381860,4.534,4.6257,40.44993383,0.02022496692,take profit,787.9597405,887.9597405
BTC/USDT,short,2021-11-08 14:40:05+00:00,1636382460,65250.36,65772.36288,-100,-0.007936507937,liquidate,687.9597405,787.9597405
