date,symbol,action,timestamp,entry,close,profit,percentage,result,balance
2021-06-28 0:02:12,BTC,buy,1624838532000,34554.79,33526.82,-2.974898704,-0.02974898704,end,100
2021-06-29 10:41:09,EOS,buy,1624963269000,4.1641,3.74769,-10,-0.1,stop loss,97.0251013
2021-06-29 10:42:40,LTC,buy,1624963360000,145.12,130.608,-10,-0.1,stop loss,87.32259117
2021-06-29 10:52:53,ETH,buy,1624963973000,2173.56,2336.38,7.490936528,0.07490936528,end,78.59033205
2021-06-29 10:54:13,BNB,buy,1624964053000,306.45,306.22,-0.07505302659,-0.0007505302659,end,84.47748394
2021-06-29 11:01:24,FIL,buy,1624964484000,59.48,59.47,-0.01681237391,-0.0001681237391,end,84.41408103
2021-06-29 23:56:41,BTC,buy,1625011001000,35911.72,35286.51,-1.740963674,-0.01740963674,end,84.39988902
2021-06-30 0:50:36,EOS,buy,1625014236000,4.2405,3.81645,-10,-0.1,stop loss,82.93051761
2021-06-30 4:18:48,BTC,buy,1625026728000,34755.44,34200.14,-1.597735491,-0.01597735491,end,74.63746585
2021-06-30 8:04:58,QTUM,buy,1625040298000,7.479,6.7311,-10,-0.1,stop loss,73.44495657
2021-06-30 11:23:01,ETH,buy,1625052181000,2156.33,2194.91,1.789151011,0.01789151011,end,66.10046091
2021-06-30 12:09:37,BTC,buy,1625054977000,34638.4,33468.11,-3.37859139,-0.0337859139,end,67.28309798
2021-07-02 23:10:23,SLP,buy,1625267423000,0.1478,0.16997,15,0.15,take profit,65.00987702
2021-07-03 8:00:18,BTC,buy,1625299218000,34515.25,32570.53,-5.634379006,-0.05634379006,end,74.76135858
2021-07-03 8:12:02,BAL,buy,1625299922000,22.516,25.8934,15,0.15,take profit,70.54902028
2021-07-03 8:55:26,ETC,buy,1625302526000,57.54,51.786,-10,-0.1,stop loss,81.13137333
2021-07-03 9:03:14,AAVE,buy,1625302994000,259.14,298.011,15,0.15,take profit,73.01823599
2021-07-03 11:55:37,UNI,buy,1625313337000,18.89,21.7235,15,0.15,take profit,83.97097139
2021-07-03 14:11:29,SAND,buy,1625321489000,0.26792,0.308108,15,0.15,take profit,96.5666171
2021-07-04 4:30:47,ALICE,buy,1625373047000,4.641,5.33715,15,0.15,take profit,111.0516097
2021-07-04 5:41:39,ETH,buy,1625377299000,2280.33,2052.297,-10,-0.1,stop loss,127.7093511
2021-07-04 7:27:08,CRV,buy,1625383628000,1.837,1.739,-5.334784976,-0.05334784976,end,114.938416
2021-07-05 5:20:23,GRT,buy,1625462423000,0.7704,0.69336,-10,-0.1,stop loss,108.8066987
2021-07-06 4:24:11,BNB,buy,1625545451000,315.21,313.56,-0.5234605501,-0.005234605501,end,97.92602879
2021-07-06 12:41:12,KEEP,buy,1625575272000,0.2866,0.32959,15,0.15,take profit,97.41342466
2021-07-21 12:28:51,ETH,buy,1626870531000,1899.6,2184.54,15,0.15,take profit,112.0254384
2021-07-27 9:16:41,SLP,buy,1627377401000,0.3001,0.27009,-10,-0.1,stop loss,128.8292541
2021-07-28 1:18:08,LIT,buy,1627435088000,4.0396,3.63564,-10,-0.1,stop loss,115.9463287
2021-07-28 6:30:39,BTC,buy,1627453839000,39540,40269,1.84370258,0.0184370258,end,104.3516958
2021-07-29 0:09:07,BTC,buy,1627517347000,39408.27,39327.39,-0.2052361091,-0.002052361091,end,106.2756307
2021-07-29 0:33:33,ALICE,buy,1627518813000,13.266,15.2559,15,0.15,take profit,106.0575148
2021-08-04 8:03:33,ALICE,buy,1628064213000,12.9499,11.65491,-10,-0.1,stop loss,121.966142
2021-08-04 8:07:44,SAND,buy,1628064464000,0.61343,0.61776,0.7058670101,0.007058670101,end,109.7695278
2021-08-04 8:32:50,AXS,buy,1628065970000,40.5949,46.684135,15,0.15,take profit,110.5443547
2021-08-04 23:43:10,ETH,buy,1628120590000,2724.55,3133.2325,15,0.15,take profit,127.1260079
2021-08-06 3:18:23,LTC,buy,1628219903000,146.06,167.969,15,0.15,take profit,146.1949091
2021-08-06 15:02:39,MDX,buy,1628262159000,1.288,1.3967,8.439440994,0.08439440994,end,168.1241454
2021-08-07 4:39:31,OGN,buy,1628311171000,0.8837,0.79533,-10,-0.1,stop loss,182.3128835
2021-08-07 23:43:58,ADA,buy,1628379838000,1.4726,1.69349,15,0.15,take profit,164.0815951
2021-08-08 16:23:55,BTC,buy,1628439835000,43720,46533,6.434126258,0.06434126258,end,188.6938344
2021-08-09 10:14:48,ETH,buy,1628504088000,3101.23,3222.3,3.90393489,0.0390393489,end,200.8346339
2021-08-09 13:39:25,FTT,buy,1628516365000,47.688,47.465,-0.4676228821,-0.004676228821,end,208.6750873
2021-08-09 13:57:02,1INCH,buy,1628517422000,2.617,3.00955,15,0.15,take profit,207.6992748
2021-08-09 14:20:10,EOS,buy,1628518810000,4.4819,5.154185,15,0.15,take profit,238.854166
2021-08-10 2:02:40,MANA,buy,1628560960000,0.7906,0.8406,6.32431065,0.0632431065,end,274.6822909
2021-08-10 2:52:24,GRT,buy,1628563944000,0.7269,0.835935,15,0.15,take profit,292.0540523
2021-08-10 11:49:14,EOS,buy,1628596154000,4.6459,5.342785,15,0.15,take profit,335.8621602
2021-08-10 12:09:38,BTC,buy,1628597378000,45914.35,45808,-0.2316269314,-0.002316269314,end,386.2414842
2021-08-10 12:41:23,IOTA,buy,1628599283000,0.972,1.1178,15,0.15,take profit,385.3468449
2021-08-11 4:13:29,ATOM,buy,1628655209000,14.805,15.892,7.342114151,0.07342114151,end,443.1488716
2021-08-11 11:20:21,DOGE,buy,1628680821000,0.26585,0.3057275,15,0.15,take profit,475.6853676
2021-08-12 5:56:16,LTC,buy,1628747776000,170.19,179.08,5.223573653,0.05223573653,end,547.0381728
2021-08-12 14:23:19,ALICE,buy,1628778199000,12.6544,13.3547,5.534043495,0.05534043495,end,575.6131147
2021-08-13 23:00:23,BTC,buy,1628895623000,47799.99,44705.29,-6.474269137,-0.06474269137,end,607.4677948
2021-08-15 3:06:27,ALGO,buy,1628996787000,0.9629,0.86661,-10,-0.1,stop loss,568.1386948
2021-08-15 12:00:01,TLM,buy,1629028801000,0.3299,0.29691,-10,-0.1,stop loss,511.3248253
2021-08-16 9:24:16,LINK,buy,1629105856000,29.655,26.6895,-10,-0.1,stop loss,460.1923428
2021-08-16 10:23:06,SAND,buy,1629109386000,0.68083,0.612747,-10,-0.1,stop loss,414.1731085
2021-08-16 20:59:39,LTC,buy,1629147579000,179.88,178.18,-0.9450744941,-0.009450744941,end,372.7557977
2021-08-17 2:19:49,NEAR,buy,1629166789000,3.8315,4.406225,15,0.15,take profit,369.2329777
2021-08-17 3:28:34,SUSHI,buy,1629170914000,13.348,12.0132,-10,-0.1,stop loss,424.6179244
2021-08-17 11:03:43,SOL,buy,1629198223000,70.144,63.1296,-10,-0.1,stop loss,382.1561319
2021-08-18 0:55:59,ETH,buy,1629248159000,3021.01,3248.84,7.541517572,0.07541517572,end,343.9405187
